Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
113,2,Sep 8 2012,Sat,North Carolina State,10,@,Connecticut,7,
114,2,Sep 8 2012,Sat,North Dakota State,22,@,Colorado State,7,
115,2,Sep 8 2012,Sat,North Texas,34,,Texas Southern,7,
116,2,Sep 8 2012,Sat,Northern Arizona,17,@,Nevada-Las Vegas,14,
117,2,Sep 8 2012,Sat,Northern Illinois,35,,Tennessee-Martin,7,
118,2,Sep 8 2012,Sat,Northwestern,23,,Vanderbilt,13,
119,2,Sep 8 2012,Sat,(22) Notre Dame,20,,Purdue,17,
120,2,Sep 8 2012,Sat,Ohio,51,,New Mexico State,24,
121,2,Sep 8 2012,Sat,(14) Ohio State,31,,Central Florida,16,
122,2,Sep 8 2012,Sat,(5) Oklahoma,69,,Florida A&M,13,
123,2,Sep 8 2012,Sat,(4) Oregon,42,,Fresno State,25,
124,2,Sep 8 2012,Sat,Oregon State,10,,(13) Wisconsin,7,
125,2,Sep 8 2012,Sat,Rice,25,@,Kansas,24,
126,2,Sep 8 2012,Sat,Rutgers,26,,Howard,0,
127,2,Sep 8 2012,Sat,Sacramento State,30,@,Colorado,28,
128,2,Sep 8 2012,Sat,San Diego State,42,,Army,7,
129,2,Sep 8 2012,Sat,San Jose State,45,,California-Davis,13,
130,2,Sep 8 2012,Sat,South Alabama,9,,Nicholls State,3,
131,2,Sep 8 2012,Sat,(9) South Carolina,48,,East Carolina,10,
132,2,Sep 8 2012,Sat,South Florida,32,@,Nevada,31,
133,2,Sep 8 2012,Sat,(2) Southern California,42,@,Syracuse,29,East Rutherford NJ
134,2,Sep 8 2012,Sat,Southern Methodist,52,,Stephen F. Austin,0,
135,2,Sep 8 2012,Sat,(25) Stanford,50,,Duke,13,
136,2,Sep 8 2012,Sat,Tennessee,51,,Georgia State,13,
137,2,Sep 8 2012,Sat,(17) Texas,45,,New Mexico,0,
138,2,Sep 8 2012,Sat,(20) Texas Christian,56,,Grambling State,0,
139,2,Sep 8 2012,Sat,Texas Tech,58,@,Texas State,10,
140,2,Sep 8 2012,Sat,Texas-San Antonio,27,,Texas A&M-Commerce,16,
141,2,Sep 8 2012,Sat,Toledo,34,@,Wyoming,31,
142,2,Sep 8 2012,Sat,Tulsa,45,,Tulane,10,
143,2,Sep 8 2012,Sat,UCLA,36,,(16) Nebraska,30,
144,2,Sep 8 2012,Sat,Virginia,17,,Penn State,16,
145,2,Sep 8 2012,Sat,(15) Virginia Tech,42,,Austin Peay,7,
146,2,Sep 8 2012,Sat,Wake Forest,28,,North Carolina,27,
147,2,Sep 8 2012,Sat,Washington State,24,,Eastern Washington,20,
148,2,Sep 8 2012,Sat,Western Michigan,52,,Eastern Illinois,21,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
149,3,Sep 13 2012,Thu,Rutgers,23,@,South Florida,13,
150,3,Sep 14 2012,Fri,Washington State,35,@,Nevada-Las Vegas,27,
151,3,Sep 15 2012,Sat,Akron,66,,Morgan State,6,
152,3,Sep 15 2012,Sat,(1) Alabama,52,@,Arkansas,0,
153,3,Sep 15 2012,Sat,(24) Arizona,56,,South Carolina State,0,
154,3,Sep 15 2012,Sat,Auburn,31,,Louisiana-Monroe,28,
155,3,Sep 15 2012,Sat,Ball State,41,@,Indiana,39,
156,3,Sep 15 2012,Sat,Baylor,48,,Sam Houston State,23,
157,3,Sep 15 2012,Sat,Boise State,39,,Miami (OH),12,
158,3,Sep 15 2012,Sat,Cal Poly,24,@,Wyoming,22,
159,3,Sep 15 2012,Sat,Central Florida,33,,Florida International,20,
160,3,Sep 15 2012,Sat,Cincinnati,23,,Delaware State,7,
161,3,Sep 15 2012,Sat,(11) Clemson,41,,Furman,7,
162,3,Sep 15 2012,Sat,Connecticut,24,@,Maryland,21,
163,3,Sep 15 2012,Sat,Duke,54,,North Carolina Central,17,
164,3,Sep 15 2012,Sat,East Carolina,24,@,Southern Mississippi,14,
165,3,Sep 15 2012,Sat,(18) Florida,37,@,(23) Tennessee,20,
166,3,Sep 15 2012,Sat,(5) Florida State,52,,Wake Forest,0,
167,3,Sep 15 2012,Sat,Fresno State,69,,Colorado,14,
168,3,Sep 15 2012,Sat,(7) Georgia,56,,Florida Atlantic,20,
169,3,Sep 15 2012,Sat,Georgia Tech,56,,Virginia,20,
170,3,Sep 15 2012,Sat,Hawaii,54,,Lamar,2,
171,3,Sep 15 2012,Sat,Illinois,44,,Charleston Southern,0,
172,3,Sep 15 2012,Sat,Iowa,27,,Northern Iowa,16,
173,3,Sep 15 2012,Sat,Iowa State,37,,Western Illinois,3,
174,3,Sep 15 2012,Sat,(15) Kansas State,35,,North Texas,21,
175,3,Sep 15 2012,Sat,(3) Louisiana State,63,,Idaho,14,
176,3,Sep 15 2012,Sat,Louisiana Tech,56,,Rice,37,
177,3,Sep 15 2012,Sat,(19) Louisville,39,,North Carolina,34,
178,3,Sep 15 2012,Sat,Miami (FL),38,,Bethune-Cookman,10,
179,3,Sep 15 2012,Sat,(17) Michigan,63,,Massachusetts,13,
180,3,Sep 15 2012,Sat,Middle Tennessee State,48,@,Memphis,30,
181,3,Sep 15 2012,Sat,Minnesota,28,,Western Michigan,23,
182,3,Sep 15 2012,Sat,Mississippi State,30,@,Troy,24,
183,3,Sep 15 2012,Sat,Missouri,24,,Arizona State,20,
184,3,Sep 15 2012,Sat,Nebraska,42,,Arkansas State,13,
185,3,Sep 15 2012,Sat,Nevada,45,,Northwestern State,34,
186,3,Sep 15 2012,Sat,North Carolina State,31,,South Alabama,7,
187,3,Sep 15 2012,Sat,Northern Illinois,41,@,Army,40,
188,3,Sep 15 2012,Sat,Northwestern,22,,Boston College,13,
189,3,Sep 15 2012,Sat,(20) Notre Dame,20,@,(10) Michigan State,3,
190,3,Sep 15 2012,Sat,Ohio,27,@,Marshall,24,
191,3,Sep 15 2012,Sat,(12) Ohio State,35,,California,28,
192,3,Sep 15 2012,Sat,Oklahoma State,65,,Louisiana-Lafayette,24,
193,3,Sep 15 2012,Sat,(4) Oregon,63,,Tennessee Tech,14,
194,3,Sep 15 2012,Sat,Penn State,34,,Navy,7,
195,3,Sep 15 2012,Sat,Pittsburgh,35,,(13) Virginia Tech,17,
196,3,Sep 15 2012,Sat,Purdue,54,,Eastern Michigan,16,
197,3,Sep 15 2012,Sat,San Diego State,49,,North Dakota,41,
198,3,Sep 15 2012,Sat,San Jose State,40,,Colorado State,20,
199,3,Sep 15 2012,Sat,(8) South Carolina,49,,Alabama-Birmingham,6,
200,3,Sep 15 2012,Sat,(21) Stanford,21,,(2) Southern California,14,
201,3,Sep 15 2012,Sat,Syracuse,28,,Stony Brook,17,
202,3,Sep 15 2012,Sat,(14) Texas,66,@,Mississippi,31,
203,3,Sep 15 2012,Sat,Texas A&M,48,@,Southern Methodist,3,
204,3,Sep 15 2012,Sat,(16) Texas Christian,20,@,Kansas,6,
205,3,Sep 15 2012,Sat,Texas Tech,49,,New Mexico,14,
206,3,Sep 15 2012,Sat,Texas-El Paso,41,,New Mexico State,28,
207,3,Sep 15 2012,Sat,Texas-San Antonio,38,@,Georgia State,14,
208,3,Sep 15 2012,Sat,Toledo,27,,Bowling Green State,15,
209,3,Sep 15 2012,Sat,Tulsa,66,,Nicholls State,16,
210,3,Sep 15 2012,Sat,(22) UCLA,37,,Houston,6,
211,3,Sep 15 2012,Sat,Utah,24,,(25) Brigham Young,21,
212,3,Sep 15 2012,Sat,Vanderbilt,58,,Presbyterian,0,
213,3,Sep 15 2012,Sat,Washington,52,,Portland State,13,
214,3,Sep 15 2012,Sat,(9) West Virginia,42,,James Madison,12,Landover MD
215,3,Sep 15 2012,Sat,Western Kentucky,32,@,Kentucky,31,
216,3,Sep 15 2012,Sat,Wisconsin,16,,Utah State,14,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
217,4,Sep 19 2012,Wed,Kent State,23,@,Buffalo,7,
218,4,Sep 20 2012,Thu,(24) Boise State,7,,Brigham Young,6,
219,4,Sep 21 2012,Fri,Baylor,47,@,Louisiana-Monroe,42,
220,4,Sep 22 2012,Sat,(1) Alabama,40,,Florida Atlantic,7,
221,4,Sep 22 2012,Sat,Arizona State,37,,Utah,7,
222,4,Sep 22 2012,Sat,Arkansas State,56,,Alcorn State,0,
223,4,Sep 22 2012,Sat,Ball State,31,,South Florida,27,
224,4,Sep 22 2012,Sat,Central Michigan,32,@,Iowa,31,
225,4,Sep 22 2012,Sat,Colorado,35,@,Washington State,34,
226,4,Sep 22 2012,Sat,Duke,38,,Memphis,14,
