Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
747,13,Nov 24 2012,Sat,Boston College,,@,North Carolina State,,
748,13,Nov 24 2012,Sat,Brigham Young,,@,New Mexico State,,
749,13,Nov 24 2012,Sat,Connecticut,,@,(14) Louisville,,
750,13,Nov 24 2012,Sat,(4) Florida,,@,(10) Florida State,,
751,13,Nov 24 2012,Sat,Georgia Tech,,@,(12) Georgia,,
752,13,Nov 24 2012,Sat,Idaho,,@,Utah State,,
753,13,Nov 24 2012,Sat,Illinois,,@,Northwestern,,
754,13,Nov 24 2012,Sat,Indiana,,@,Purdue,,
755,13,Nov 24 2012,Sat,Kentucky,,@,Tennessee,,
756,13,Nov 24 2012,Sat,Louisiana Tech,,@,San Jose State,,
757,13,Nov 24 2012,Sat,Louisiana-Monroe,,@,Florida International,,
758,13,Nov 24 2012,Sat,Maryland,,@,North Carolina,,
759,13,Nov 24 2012,Sat,Miami (FL),,@,Duke,,
760,13,Nov 24 2012,Sat,(25) Michigan,,@,Ohio State,,
761,13,Nov 24 2012,Sat,Michigan State,,@,Minnesota,,
762,13,Nov 24 2012,Sat,(16) Mississippi State,,@,Mississippi,,
763,13,Nov 24 2012,Sat,Missouri,,@,(19) Texas A&M,,
764,13,Nov 24 2012,Sat,Nevada-Las Vegas,,@,Hawaii,,
765,13,Nov 24 2012,Sat,New Mexico,,@,Colorado State,,
766,13,Nov 24 2012,Sat,North Texas,,@,Western Kentucky,,
767,13,Nov 24 2012,Sat,(5) Notre Dame,,@,(9) Southern California,,
768,13,Nov 24 2012,Sat,Oklahoma State,,@,(7) Oklahoma,,
769,13,Nov 24 2012,Sat,(2) Oregon,,@,(11) Oregon State,,
770,13,Nov 24 2012,Sat,Rice,,@,Texas-El Paso,,
771,13,Nov 24 2012,Sat,(17) Rutgers,,@,Pittsburgh,,
772,13,Nov 24 2012,Sat,San Diego State,,@,Wyoming,,
773,13,Nov 24 2012,Sat,South Alabama,,@,Louisiana-Lafayette,,
774,13,Nov 24 2012,Sat,(8) South Carolina,,@,(13) Clemson,,
775,13,Nov 24 2012,Sat,Southern Mississippi,,@,Memphis,,
776,13,Nov 24 2012,Sat,(23) Stanford,,@,UCLA,,
777,13,Nov 24 2012,Sat,(21) Texas Christian,,@,Texas,,
778,13,Nov 24 2012,Sat,Texas State,,@,Texas-San Antonio,,
779,13,Nov 24 2012,Sat,(20) Texas Tech,,,Baylor,,Arlington TX
780,13,Nov 24 2012,Sat,Troy,,@,Middle Tennessee State,,
781,13,Nov 24 2012,Sat,Tulane,,@,Houston,,
782,13,Nov 24 2012,Sat,Tulsa,,@,Southern Methodist,,
783,13,Nov 24 2012,Sat,Vanderbilt,,@,Wake Forest,,
784,13,Nov 24 2012,Sat,Virginia,,@,Virginia Tech,,
785,13,Nov 24 2012,Sat,Wisconsin,,@,Penn State,,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
786,14,Nov 29 2012,Thu,(14) Louisville,,@,(17) Rutgers,,
787,14,Dec 1 2012,Sat,(22) Boise State,,@,Nevada,,
788,14,Dec 1 2012,Sat,(18) Cincinnati,,@,Connecticut,,
789,14,Dec 1 2012,Sat,Kansas,,@,(15) West Virginia,,
790,14,Dec 1 2012,Sat,Louisiana-Lafayette,,@,Florida Atlantic,,
791,14,Dec 1 2012,Sat,Middle Tennessee State,,@,Arkansas State,,
792,14,Dec 1 2012,Sat,New Mexico State,,@,Texas State,,
793,14,Dec 1 2012,Sat,Nicholls State,,@,(11) Oregon State,,
794,14,Dec 1 2012,Sat,(7) Oklahoma,,@,(21) Texas Christian,,
795,14,Dec 1 2012,Sat,Oklahoma State,,@,Baylor,,
796,14,Dec 1 2012,Sat,Pittsburgh,,@,South Florida,,
797,14,Dec 1 2012,Sat,South Alabama,,@,Hawaii,,
798,14,Dec 1 2012,Sat,Texas,,@,(3) Kansas State,,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
799,15,Dec 8 2012,Sat,Navy,,,Army,,Philadelphia PA
