3,"T1",49.3,-2.9,58.1,-10.5,323.6,0.6,456.0,-177.0,435.5,39.9,354.5,69.9,26.2,-0.7,7,0.000,"AC","AC"
-14,"T1",47.9,-1.5,52.0,-4.4,293.3,30.9,244.3,34.7,461.4,14.0,452.2,-27.8,10.5,-1.7,-7,0.000,"AC","AC"
10,"T1",54.4,-8.0,46.3,1.3,342.8,-18.6,233.6,45.4,482.5,-7.1,484.4,-60.0,-1.5,0.2,0,0.365,"AC","AC"
-38,"T1",40.8,5.6,51.7,-4.1,266.2,58.0,326.4,-47.4,438.3,37.1,438.3,-13.9,3.8,-0.9,-2,-0.170,"AC","AC"
19,"T1",48.7,7.1,50.1,-14.9,290.4,83.4,258.3,-50.1,454.0,-1.8,494.2,-93.0,-21.2,0.2,0,0.016,"AC","SB"
-20,"T1",57.2,-1.4,51.2,-16.0,363.8,10.0,262.6,-54.4,443.6,8.6,482.9,-81.7,-2.9,0.4,0,0.071,"AC","AC"
3,"T1",48.0,7.8,44.1,-8.9,348.8,25.0,249.8,-41.6,424.1,28.1,432.7,-31.5,4.7,0.6,0,0.286,"AC","AC"
16,"T1",51.4,4.4,35.8,-0.6,338.0,35.8,235.0,-26.8,469.4,-17.2,368.4,32.8,14.3,0.7,-7,0.452,"AC","AC"
3,"T1",52.7,3.1,45.6,-10.4,310.8,63.0,242.9,-34.7,467.4,-15.2,455.0,-53.8,-0.9,0.5,-5,0.247,"AC","AC"
-28,"N",57.2,-1.4,51.2,-16.0,363.8,10.0,262.6,-54.4,443.6,8.6,482.9,-81.7,-2.9,0.4,0,0.071,"AC","AC"
-3,"B",45.3,10.5,50.9,-15.7,318.6,55.2,325.9,-117.7,416.6,35.6,383.4,17.8,-9.6,-0.2,0,-0.060,"AC","BT"
7,"T1",50.7,1.3,55.6,-0.8,245.8,-16.6,274.6,65.0,476.9,29.5,467.9,-12.1,9.1,-0.4,2,-0.154,"AC","AC"
5,"T1",41.1,10.9,58.0,-3.2,197.3,31.9,282.0,57.6,445.5,60.9,484.9,-29.1,-25.1,0.4,-7,-0.231,"AC","AC"
-21,"T1",43.6,8.4,55.3,-0.5,218.7,10.5,356.7,-17.1,453.8,52.6,454.0,1.8,2.4,0.4,0,-0.324,"AC","AC"
-7,"T1",46.7,5.3,56.6,-1.8,253.5,-24.3,330.2,9.4,459.0,47.4,480.5,-24.7,-31.9,1.8,0,-0.154,"AC","IN"
21,"T1",60.2,-8.2,50.5,4.3,334.4,-105.2,339.1,0.5,490.6,15.8,438.2,17.6,7.9,0.3,0,0.295,"AC","AC"
-34,"T1",47.6,4.4,54.1,0.7,245.1,-15.9,334.3,5.3,445.4,61.0,402.5,53.3,-12.1,0.7,0,0.000,"AC","SE"
-6,"B",45.7,6.3,52.7,2.1,268.1,-38.9,345.1,-5.5,450.4,56.0,409.7,46.1,-7.6,0.7,0,-0.077,"AC","SE"
2,"T1",66.8,23.8,78.0,-3.6,359.4,111.8,406.0,-11.2,575.1,127.9,522.7,59.5,16.3,0.2,0,-0.077,"B2","MW"
25,"T1",78.6,12.0,60.5,13.9,419.0,52.2,348.3,46.5,630.2,72.8,487.9,94.3,48.8,-0.3,-7,0.436,"B2","CU"
23,"T1",74.7,15.9,59.9,14.5,429.1,42.1,371.6,23.2,585.5,117.5,503.4,78.8,27.9,1.3,0,0.308,"B2","B2"
