80,Florida International,/cfb/schools/florida-international/,2004,2012,9,95,32,63,0,.337,2,1,1,0,.500,-12.42,-5.92,0,1,,
81,Florida State,/cfb/schools/florida-state/,1954,2012,59,678,448,214,16,.673,40,24,14,2,.625,11.21,4.68,28,12,W-L adjusted to 437-213-16 by NCAA (more,/cfb/friv/forfeits.cgi),
82,Fordham,/cfb/schools/fordham/,1909,1954,25,213,126,70,17,.631,2,1,1,0,.500,3.62,1.24,6,0,,
83,Fort Benning,/cfb/schools/fort-benning/,1922,1922,1,10,5,5,0,.500,,,,,,-6.13,-0.20,0,0,,
84,Fort Riley,/cfb/schools/fort-riley/,1943,1943,1,9,6,2,1,.722,,,,,,10.42,3.51,0,0,,
85,Fort Warren,/cfb/schools/fort-warren/,1944,1944,1,10,5,4,1,.550,,,,,,-4.09,-1.13,0,0,,
86,Franklin &amp; Marshall,/cfb/schools/franklin-marshall/,1889,1904,7,62,24,31,7,.444,,,,,,-6.68,0.81,0,0,,
87,Fresno State,/cfb/schools/fresno-state/,1969,2012,44,513,298,211,4,.585,18,9,9,0,.500,-1.99,-5.16,2,9,W-L adjusted to 299-210-4 by NCAA (more,/cfb/friv/forfeits.cgi),
88,Furman,/cfb/schools/furman/,1902,1981,61,605,297,280,28,.514,,,,,,-6.15,-4.31,0,3,,
89,George Washington,/cfb/schools/george-washington/,1908,1966,33,299,138,147,14,.485,1,1,0,0,1.000,-4.57,-2.72,1,0,,
90,Georgetown,/cfb/schools/georgetown/,1902,1950,36,313,184,110,19,.618,2,0,2,0,.000,2.76,1.20,1,0,,
91,Georgia,/cfb/schools/georgia/,1902,2012,109,1148,721,377,50,.650,47,26,18,3,.585,9.76,6.62,33,12,,
92,Georgia Pre-Flight,/cfb/schools/georgia-pre-flight/,1942,1943,2,15,12,2,1,.833,,,,,,11.16,4.14,0,0,,
93,Georgia Tech,/cfb/schools/georgia-tech/,1902,2012,111,1160,680,440,40,.603,40,22,18,0,.550,8.87,6.58,24,8,,
94,Gonzaga,/cfb/schools/gonzaga/,1922,1941,16,141,67,63,11,.514,1,0,1,0,.000,-2.55,-1.17,0,0,,
95,Grambling State,/cfb/schools/grambling-state/,1977,1977,1,11,10,1,0,.909,,,,,,6.73,-9.34,0,1,,
96,Great Lakes Navy,/cfb/schools/great-lakes-navy/,1918,1945,5,55,39,11,5,.755,1,1,0,0,1.000,16.39,9.50,2,0,,
97,Grinnell,/cfb/schools/grinnell/,1899,1936,26,218,90,110,18,.454,,,,,,-6.97,-0.62,0,0,,
98,Hamilton,/cfb/schools/hamilton/,1907,1907,1,5,1,4,0,.200,,,,,,-10.59,8.83,0,0,,
99,Hampden-Sydney,/cfb/schools/hampden-sydney/,1922,1940,5,44,14,29,1,.330,,,,,,-12.35,-3.02,0,0,,
100,Hardin-Simmons,/cfb/schools/hardin-simmons/,1939,1962,21,218,113,96,9,.539,6,4,2,0,.667,-5.37,-5.81,1,3,,
101,Harvard,/cfb/schools/harvard/,1875,1981,103,932,631,259,42,.700,1,1,0,0,1.000,4.21,0.51,0,5,,
102,Haskell,/cfb/schools/haskell/,1902,1916,12,110,57,49,4,.536,,,,,,-1.95,2.76,0,0,,
103,Haverford,/cfb/schools/haverford/,1891,1891,1,6,0,6,0,.000,,,,,,-23.89,1.26,0,0,,
104,Hawaii,/cfb/schools/hawaii/,1971,2012,40,473,253,214,6,.541,10,5,5,0,.500,-2.28,-2.69,2,4,,
105,Holy Cross,/cfb/schools/holy-cross/,1899,1981,53,524,264,233,27,.530,1,0,1,0,.000,-2.98,-2.75,5,0,,
106,Houston,/cfb/schools/houston/,1949,2012,64,700,371,314,15,.541,21,9,11,1,.452,3.24,2.23,13,10,W-L adjusted to 371-314-14 by NCAA (more,/cfb/friv/forfeits.cgi),
107,Idaho,/cfb/schools/idaho/,1917,2012,70,666,241,409,16,.374,2,2,0,0,1.000,-8.05,-1.94,0,1,,
108,Idaho State,/cfb/schools/idaho-state/,1944,1944,1,9,4,5,0,.444,,,,,,-11.60,-4.39,0,0,,
109,Illinois,/cfb/schools/illinois/,1892,2012,121,1152,570,533,49,.516,17,8,9,0,.471,6.74,7.63,13,15,,
110,Illinois State,/cfb/schools/illinois-state/,1975,1985,11,119,41,73,5,.366,,,,,,-15.36,-10.61,0,0,,
111,Indiana,/cfb/schools/indiana/,1899,2012,114,1067,424,605,38,.415,9,3,6,0,.333,2.05,6.69,5,2,W-L adjusted to 425-604-38 by NCAA (more,/cfb/friv/forfeits.cgi),
112,Indiana State,/cfb/schools/indiana-state/,1975,1985,11,120,60,59,1,.504,,,,,,-10.06,-9.23,0,0,,
113,Iowa,/cfb/schools/iowa/,1899,2012,114,1092,563,495,34,.531,26,14,11,1,.558,6.62,7.38,21,11,W-L adjusted to 564-494-34 by NCAA (more,/cfb/friv/forfeits.cgi),
114,Iowa Pre-Flight,/cfb/schools/iowa-pre-flight/,1942,1944,3,31,26,5,0,.839,,,,,,18.08,7.87,2,0,,
115,Iowa State,/cfb/schools/iowa-state/,1895,2012,115,1111,478,588,45,.450,11,3,8,0,.273,-0.09,3.24,2,2,W-L adjusted to 479-587-45 by NCAA (more,/cfb/friv/forfeits.cgi),
116,Jackson State,/cfb/schools/jackson-state/,1977,1977,1,11,8,3,0,.727,,,,,,-1.31,-9.75,0,0,,
117,Jacksonville Naval Air Station,/cfb/schools/jacksonville-naval-air-station/,1942,1942,1,12,9,3,0,.750,,,,,,6.46,-1.09,0,0,,
118,Kansas,/cfb/schools/kansas/,1901,2012,112,1114,514,546,54,.486,12,6,6,0,.500,1.73,4.29,7,5,,
119,Kansas State,/cfb/schools/kansas-state/,1912,2012,101,1017,416,566,35,.426,15,6,9,0,.400,-1.08,3.50,11,2,W-L adjusted to 417-566-34 by NCAA (more,/cfb/friv/forfeits.cgi),
120,Kent State,/cfb/schools/kent-state/,1962,2012,51,548,176,367,5,.326,1,0,1,0,.000,-13.30,-6.79,0,1,,
121,Kentucky,/cfb/schools/kentucky/,1915,2012,97,992,453,503,36,.475,15,8,7,0,.533,4.00,5.58,8,2,W-L adjusted to 454-502-36 by NCAA (more,/cfb/friv/forfeits.cgi),
122,Knox,/cfb/schools/knox/,1899,1905,5,52,27,23,2,.538,,,,,,-1.90,1.72,0,0,,
123,Lafayette,/cfb/schools/lafayette/,1882,1946,47,440,256,160,24,.609,,,,,,1.01,1.69,0,0,,
124,Lake Forest,/cfb/schools/lake-forest/,1893,1899,5,47,17,24,6,.426,,,,,,-7.97,1.36,0,0,,
125,Lamar,/cfb/schools/lamar/,1973,1981,9,97,33,60,4,.361,,,,,,-12.77,-7.31,0,0,,
126,Lawrence,/cfb/schools/lawrence/,1905,1905,1,10,7,3,0,.700,,,,,,3.09,3.93,0,0,,
127,Lehigh,/cfb/schools/lehigh/,1884,1965,43,412,195,197,20,.498,,,,,,-3.04,1.80,0,0,,
128,Lombard,/cfb/schools/lombard/,1903,1903,1,8,5,3,0,.625,,,,,,-2.35,3.24,0,0,,
